,Unit,Group.Name.Partner,Date.and.Time,Borough,LocationType,Location,Event.Name,Event.Type,Category,Classification,Audience,Attendance,pmam,time,lon,lat
27,Recreation,,02/05/2020 09:00:00 AM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Lunar New Year Festival,Community Based Event,Arts/Culture,,General Public;#Seniors;#Adults,150,AM,2020-02-05 09:00:00,-73.8651503,40.73234009999999
28,Recreation,,02/07/2020 06:00:00 PM,Manhattan,Recreation Center,Highbridge Recreation Center,Off The Hook Open Mat,Open House,Fitness,Fitness,General Public,15,PM,2020-02-07 18:00:00,-73.93419,40.842804
29,Recreation,IFC,02/12/2020 06:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,A Conversation with Alexi Pappas and Jeremy Teicher,Agency Produced Event,Arts/Culture,AC&F,Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,40,PM,2020-02-12 18:00:00,-74.00543019999999,40.7296158
30,Recreation,,02/13/2020 06:00:00 PM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,SHAPE UP- Galentines Day: Silent Disco Dance Party,Agency Produced Event,Arts/Culture,Dance,General Public,70,PM,2020-02-13 18:00:00,-73.8651503,40.73234009999999
31,Recreation,,02/14/2020 09:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,Spin for Life: Healthy Heart Spin Off,Local Event,Fitness,Fitness,Adults;#Young Adult;#Seniors,75,AM,2020-02-14 09:00:00,-73.8988889,40.8644444
32,Recreation,,02/14/2020 04:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Glow in the Dark Paint Night Valentines Day Special,Community Based Event,Arts/Culture,AC&F,Tot;#Children;#Young Adult;#Adults;#Teens;#Seniors;#Adaptive;#General Public,80,PM,2020-02-14 16:00:00,-73.9756582,40.7361601
33,Recreation,,02/14/2020 07:30:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Valentines Paint Night,Community Based Event,Arts/Culture,,General Public,68,PM,2020-02-14 19:30:00,-73.942442,40.82430799999999
34,Recreation,NY Presbyterian,02/15/2020 11:00:00 AM,Manhattan,Recreation Center,Highbridge Recreation Center,Family Wellness Day,Agency Produced Event,Fitness,Fitness,Young Adult;#Adults;#Teens;#Children;#General Public;#Seniors;#Adaptive;#Tot,16,AM,2020-02-15 11:00:00,-73.93419,40.842804
35,Urban Park Rangers,Linda Ogawa; Brittany Nulph,02/15/2020 11:00:00 AM,Bronx,Playground,Brady Playground,Winter Fest (Bronx),Agency Produced Event,Family Festival,Play,Children;#Tot;#Young Adult;#Teens;#Adults,200,AM,2020-02-15 11:00:00,-73.8688291,40.8513262
36,Recreation,,02/15/2020 03:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Youth Basketball league Championship & skills challenge,Tournament/Competition,Sport,Tier 1,Teens,46,PM,2020-02-15 15:00:00,-73.942442,40.82430799999999
37,Urban Park Rangers,Greenbelt Conservancy,02/16/2020 01:00:00 PM,Staten Island,Park,High Rock Park,Civilian Conservation Corps Volunteer Project,Local Event,Academic/Out of School time,,Young Adult;#Adults;#Teens,18,PM,2020-02-16 13:00:00,-74.1230547,40.5825314
38,Recreation,,02/17/2020 12:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Chilly Winter Art,Community Based Event,Arts/Culture,Play,Tot;#General Public;#Children,20,PM,2020-02-18 00:00:00,-73.94085009999999,40.8465885
39,Recreation,,02/18/2020 06:00:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,King of the Net,Tournament/Competition,Sport,Tier 2,Teens,13,PM,2020-02-18 18:00:00,-73.9976262,40.7101922
40,Urban Park Rangers,Greenbelt Conservancy,02/19/2020 06:00:00 PM,Staten Island,Nature Center,Greenbelt Nature Center,Family Science Night,Community Based Event,Academic/Out of School time,,Children;#Young Adult;#Teens;#Adults;#General Public,30,PM,2020-02-19 18:00:00,-74.13916669999999,40.5884511
41,Recreation,Strictly Tango NYC/Sergio Segura,02/20/2020 01:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Tango Workout at Chelsea,Community Based Event,Arts/Culture,Dance,Young Adult;#Adults;#Seniors;#General Public,12,PM,2020-02-20 13:00:00,-74.00206469999999,40.74826849999999
42,Recreation,,02/20/2020 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Tango Workout at Tony Dapolito,Community Based Event,Arts/Culture,Dance,Adults;#Seniors,14,PM,2020-02-20 19:00:00,-74.00543019999999,40.7296158
43,Recreation,East 54th Street Recreation Center,02/21/2020 03:00:00 PM,Manhattan,Recreation Center,Recreation Center 54,King of the Rock,Agency Produced Event,Sport,Tier 1,Teens,35,PM,2020-02-21 15:00:00,-73.965096,40.7564903
44,Recreation,,02/21/2020 04:00:00 PM,Manhattan,Recreation Center,Hansborough Recreation Center,All Star Madness,Tournament/Competition,Sport,Tier 1,Children;#Teens;#Adults,73,PM,2020-02-21 16:00:00,-73.9394781,40.81295069999999
45,Recreation,,02/21/2020 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired : Georges Seurat,Community Based Event,Arts/Culture,AC&F,Young Adult;#Adults;#Seniors;#General Public,30,PM,2020-02-21 18:00:00,-73.9756582,40.7361601
46,Recreation,,02/21/2020 06:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,A Conversation with Andre Aciman,Agency Produced Event,Academic/Out of School time,Lecture/Panel/Talk,Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,143,PM,2020-02-21 18:30:00,-74.00543019999999,40.7296158
47,Recreation,Google and D10 community board,02/22/2020 11:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Code Next,Community Based Event,Academic/Out of School time,,Children;#Teens,55,AM,2020-02-22 11:00:00,-73.942442,40.82430799999999
48,Urban Park Rangers,Public,02/23/2020 11:00:00 AM,Brooklyn,Park,Marine Park,Volunteer Clean Up,Local Event,Nature,,General Public,7,AM,2020-02-23 11:00:00,-73.93318649999999,40.6113817
49,Recreation,,02/27/2020 12:00:00 AM,Manhattan,Recreation Center,Hansborough Recreation Center,"""And Still We Rise""",Community Based Event,Arts/Culture,,Young Adult;#Adults;#Seniors,18,AM,2020-02-27 12:00:00,-73.9394781,40.81295069999999
50,Recreation,Strictly Tango/ Sergio Segura,02/27/2020 01:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Tango Workout at Chelsea,Community Based Event,Arts/Culture,Dance,Adults;#Young Adult;#Seniors,15,PM,2020-02-27 13:00:00,-74.00206469999999,40.74826849999999
51,Recreation,Strictly Tango NYC Dance School,02/27/2020 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Tango Workout,Agency Produced Event,Arts/Culture,Dance,Young Adult;#Teens;#Adults;#Adaptive;#General Public;#Seniors,11,PM,2020-02-27 19:00:00,-74.00543019999999,40.7296158
52,Recreation,,02/28/2020 05:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Neon Glow Zumba Fest,Community Based Event,Fitness,Dance,Adults;#Young Adult;#Seniors;#General Public,75,PM,2020-02-28 17:00:00,-73.9756582,40.7361601
53,Urban Park Rangers,Zimmer Club,02/29/2020 09:00:00 AM,Staten Island,Other,4411 Arthur Kill Road,Zimmer Club,Community Based Event,Nature,,Children;#Young Adult;#Adults;#Teens;#Tot,60,AM,2020-02-29 09:00:00,-74.23638860000001,40.5346154
54,Urban Park Rangers,General Public,02/29/2020 01:00:00 PM,Queens,Park,Alley Pond Park,Alley Pond Winter Activities and Games,Agency Produced Event,Family Festival,Play,Tot;#Children;#Young Adult;#Adults;#Teens;#Seniors;#General Public,800,PM,2020-02-29 13:00:00,-73.73843409999999,40.74239470000001
55,Urban Park Rangers,Greenbelt Conservancy,03/03/2020 05:00:00 PM,Staten Island,School,PS 54,Family Science Night Out,Agency Produced Event,Academic/Out of School time,,Children;#Adults,40,PM,2020-03-03 17:00:00,-74.1378314,40.6028087
56,Recreation,Strictly Tango NYC/ Sergio Segura,03/05/2020 01:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Tango Workout at Chelsea,Community Based Event,Arts/Culture,Dance,Young Adult;#Adults;#Seniors,8,PM,2020-03-05 13:00:00,-74.00206469999999,40.74826849999999
57,Recreation,,03/05/2020 06:00:00 PM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Stardust Gallery,Community Based Event,Academic/Out of School time,,Children,8,PM,2020-03-05 18:00:00,-73.8651503,40.73234009999999
58,Recreation,,03/05/2020 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Tango Workout at Tony Dapolito!,Community Based Event,Arts/Culture,Dance,Adults;#Young Adult;#Seniors,6,PM,2020-03-05 19:00:00,-74.00543019999999,40.7296158
59,Recreation,,03/06/2020 03:30:00 PM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Lego & K'nex Showcase,Community Based Event,Academic/Out of School time,,Children,9,PM,2020-03-06 15:30:00,-73.8651503,40.73234009999999
60,Recreation,,03/06/2020 04:00:00 PM,Manhattan,Recreation Center,Highbridge Recreation Center,Teen Fitness Challenge,Agency Produced Event,Fitness,Fitness,Teens,7,PM,2020-03-06 16:00:00,-73.93419,40.842804
61,Recreation,,03/07/2020 10:00:00 AM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,Thomas Jefferson 8 Ball Pool Tournament,Tournament/Competition,Arts/Culture,,Young Adult;#Adults,25,AM,2020-03-07 10:00:00,-73.93677950000001,40.7936478
62,Recreation,Hunts Point Recreation Center,03/17/2020 04:00:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,Family Dodgeball,Local Event,Sport,Tier 3,Children;#Teens;#General Public,75,PM,2020-03-17 16:00:00,-73.88909149999999,40.8149605
63,Recreation,,03/17/2020 04:00:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,Ultimate Dodgeball,Community Based Event,Sport,Tier 3,Teens;#Children;#General Public,75,PM,2020-03-17 16:00:00,-73.88909149999999,40.8149605
64,Recreation,celine,03/20/2020 12:00:00 PM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Recreation Day,Community Based Event,Family Festival,Play,Children;#Teens;#General Public,0,PM,2020-03-21 00:00:00,-73.94085009999999,40.8465885
65,Recreation,Literacy Inc,03/20/2020 04:30:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,Happy Birthday Dr. Seuss,Community Based Event,Academic/Out of School time,,Tot;#Children;#Adaptive,50,PM,2020-03-20 16:30:00,-73.88909149999999,40.8149605
66,Recreation,,03/23/2020 11:00:00 AM,Bronx,Recreation Center,Hunts Point Recreation Center,Paint & Sip,Community Based Event,Family Festival,Tier 1,Young Adult;#Adults;#Adaptive;#Seniors,50,AM,2020-03-23 11:00:00,-73.88909149999999,40.8149605
67,Recreation,,03/23/2020 04:00:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,Hunts Point Game On,Community Based Event,Sport,Play,Children;#Teens;#Adaptive,75,PM,2020-03-23 16:00:00,-73.88909149999999,40.8149605
68,Public Programs,,05/09/2020 10:00:00 AM,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Health and Wellness Fair,Community Based Event,Fitness,,Tot;#Children;#Adults;#Young Adult;#Teens;#Adaptive;#General Public;#Seniors,1500,AM,2020-05-09 10:00:00,-74.0751483,40.5831074
69,Public Programs,,05/16/2020 10:00:00 AM,Staten Island,Park,Ocean Breeze Park,,Community Based Event,Academic/Out of School time,,Children;#Young Adult;#Teens;#Adaptive;#General Public,0,AM,2020-05-16 10:00:00,,
70,Public Programs,,06/20/2020 10:00:00 AM,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,,Community Based Event,Family Festival,,General Public;#Seniors;#Teens;#Adults;#Adaptive;#Young Adult;#Children;#Tot,750,AM,2020-06-20 10:00:00,-74.0751483,40.5831074
71,Recreation,,07/05/2020 09:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,Skills & Drills,Community Based Event,Sport,Summer 2020,Teens;#Children,8,AM,2020-07-05 09:00:00,-73.91410669999999,40.8114492
72,Recreation,,07/05/2020 09:00:00 AM,Bronx,Park,St. Mary's Park,skills & drills,Community Based Event,Sport,Summer 2020,Children;#Teens,12,AM,2020-07-05 09:00:00,-73.9120243,40.8117387
73,Recreation,,07/05/2020 01:30:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,step it up,Community Based Event,Fitness,Summer 2020,Children,8,PM,2020-07-05 13:30:00,-73.91410669999999,40.8114492
74,Recreation,,07/06/2020 09:00:00 AM,Bronx,Recreation Center,St. Mary's Recreation Center,Cardio + Strength,Local Event,Fitness,Fitness,Children;#Teens,8,AM,2020-07-06 09:00:00,-73.91410669999999,40.8114492
75,Recreation,,07/06/2020 09:00:00 AM,Bronx,Park,St. Mary's Park,,Community Based Event,Sport,Summer 2020,Teens,7,AM,2020-07-06 09:00:00,-73.9120243,40.8117387
76,Recreation,,07/06/2020 11:00:00 AM,Bronx,Park,St. Mary's Park,Skills & Drills,Community Based Event,Sport,,Teens;#Young Adult,10,AM,2020-07-06 11:00:00,-73.9120243,40.8117387
77,Recreation,,07/07/2020 09:00:00 AM,Bronx,Park,St. Mary's Park,skills & drills,Community Based Event,Sport,Summer 2020,Teens;#Young Adult;#Children,8,AM,2020-07-07 09:00:00,-73.9120243,40.8117387
78,Recreation,,07/07/2020 01:00:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,step it up,Community Based Event,Fitness,Summer 2020,Children,4,PM,2020-07-07 13:00:00,-73.91410669999999,40.8114492
79,Recreation,,07/08/2020 09:00:00 AM,Bronx,Park,St. Mary's Park,skills & drills,Community Based Event,Sport,Summer 2020,Children,3,AM,2020-07-08 09:00:00,-73.9120243,40.8117387
80,Recreation,Keigan Albert,07/09/2020 10:30:00 AM,Manhattan,Park,Carmansville Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,Tot;#Children;#Teens,9,AM,2020-07-09 10:30:00,-73.94424099999999,40.82931079999999
81,Recreation,,07/12/2020 09:00:00 AM,Bronx,Park,St. Mary's Park,skills & drills,Community Based Event,Sport,Summer 2020,Children,7,AM,2020-07-12 09:00:00,-73.9120243,40.8117387
82,Urban Park Rangers,General Public,07/12/2020 01:00:00 PM,Brooklyn,Park,Marine Park,Wildflowers vs Mugwort,Community Based Event,Nature,Summer 2020,General Public,6,PM,2020-07-12 13:00:00,-73.93318649999999,40.6113817
83,Public Programs,,07/12/2020 01:00:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,step it up,Community Based Event,Fitness,Summer 2020,Children,3,PM,2020-07-12 13:00:00,-73.91410669999999,40.8114492
84,Recreation,Darryl.Algood,07/13/2020 01:00:00 AM,Brooklyn,Playground,Century Playground,Summer Program Intiative,Local Event,Mobile Unit,Summer 2020,Tot;#Children;#Teens,6,AM,2020-07-13 01:00:00,-73.970045,40.57703619999999
85,Recreation,Carol Landes,07/13/2020 08:00:00 AM,Staten Island,Playground,Jennifer's Playground,Stronger Than Ever,Open House,Fitness,Summer 2020,Seniors,10,AM,2020-07-13 08:00:00,-74.16306469999999,40.620056
86,Recreation,Ocean Breeze Recreaion Staff,07/13/2020 08:30:00 AM,Staten Island,Park,Ocean Breeze Park,Inspiration Motivation,Open House,Fitness,Summer 2020,General Public,2,AM,2020-07-13 08:30:00,,
87,Recreation,Ocean Breeze Recreation Staff,07/13/2020 08:30:00 AM,Staten Island,Park,Ocean Breeze Park,Open Patio Area,Open House,Family Festival,Summer 2020,General Public,1,AM,2020-07-13 08:30:00,,
88,Recreation,Mauricio Cortez,07/13/2020 09:00:00 AM,Brooklyn,Playground,Maria Hernandez,Youth Summer Pop Up Recreation,Local Event,Sport,Summer 2020,Children,10,AM,2020-07-13 09:00:00,-73.9238611,40.70312819999999
89,Recreation,Darryl. Algood,07/13/2020 09:00:00 AM,Brooklyn,Playground,West Playground,Summer Program Initiative,Local Event,Mobile Unit,Summer 2020,Children;#Tot;#Teens,10,AM,2020-07-13 09:00:00,,
90,Recreation,Matthew O'Neill,07/13/2020 09:00:00 AM,Brooklyn,Park,Paerdegat Park,Senior Power Walk,Agency Produced Event,Fitness,Summer 2020,Adults,10,AM,2020-07-13 09:00:00,-73.938164,40.6379063
91,Recreation,,07/13/2020 09:00:00 AM,Bronx,Park,St. Mary's Park,skills & drills,Community Based Event,Sport,Summer 2020,Teens,6,AM,2020-07-13 09:00:00,-73.9120243,40.8117387
92,Recreation,Ocean Breeze Recreaion Staff,07/13/2020 09:45:00 AM,Staten Island,Park,Ocean Breeze Park,Step & Fit,Open House,Fitness,Summer 2020,General Public,5,AM,2020-07-13 09:45:00,,
93,Recreation,Jonathan Adone,07/13/2020 10:00:00 AM,Brooklyn,Park,Leif Ericson Park,Pick Up Pickleball,Local Event,Sport,Summer 2020,Seniors,16,AM,2020-07-13 10:00:00,-74.0229794,40.6372953
94,Urban Park Rangers,General Public,07/13/2020 10:00:00 AM,Bronx,Park,Mullaly Park,Ranger Activity,Agency Produced Event,Nature,Summer 2020,General Public,0,AM,2020-07-13 10:00:00,,
95,Recreation,Andrea Williams,07/13/2020 10:00:00 AM,Brooklyn,Playground,Hilltop Playground,Mobile Recreation,Community Based Event,Mobile Unit,Summer 2020,Children;#Teens;#General Public,5,AM,2020-07-13 10:00:00,-73.91427929999999,40.675355
96,Recreation,"Sarah Bishow, Oscar Chavez and GiGi",07/13/2020 10:00:00 AM,Bronx,Park,Williamsbridge Oval Park,Chair Aerobics,Community Based Event,Fitness,Summer 2020,Seniors;#Adults;#Young Adult;#Teens,13,AM,2020-07-13 10:00:00,-73.8763876,40.8776269
97,Urban Park Rangers,General Public,07/13/2020 10:30:00 AM,Manhattan,Park,Tompkins Square Park,Hawk Talk,Community Based Event,Nature,Summer 2020,General Public,18,AM,2020-07-13 10:30:00,-73.9817841,40.72642949999999
98,Recreation,,07/13/2020 11:00:00 AM,Queens,Playground,Bayswater Park,Kids in Motion,Community Based Event,KIM,Summer 2020,Children;#Teens;#General Public;#Tot,22,AM,2020-07-13 11:00:00,-73.7691138,40.599056
99,Recreation,,07/13/2020 11:00:00 AM,Queens,Park,Detective Keith L Williams Park,Kids in Motion,Community Based Event,KIM,Summer 2020,General Public;#Teens;#Children;#Tot,15,AM,2020-07-13 11:00:00,-73.7844531,40.7028871
100,Recreation,,07/13/2020 11:00:00 AM,Queens,Playground,Hoover - Manton Playgrounds,Kids in Motion,Community Based Event,KIM,Summer 2020,General Public;#Tot;#Children,25,AM,2020-07-13 11:00:00,-73.8216889,40.7120075
101,Recreation,Jeslyn Galarza,07/13/2020 11:00:00 AM,Bronx,Playground,St. Mary's,Trap and Spin,Open House,Fitness,Fitness,Adults;#Young Adult;#Seniors,15,AM,2020-07-13 11:00:00,,
102,Urban Park Rangers,General Public,07/13/2020 11:30:00 AM,Staten Island,Park,Clove Lakes Park,Photo Scavenger Hunt,Community Based Event,Nature,Summer 2020,General Public,10,AM,2020-07-13 11:30:00,-74.11163979999999,40.6186608
103,Recreation,Mauricio Cortez,07/13/2020 12:00:00 PM,Brooklyn,Park,Herbert Von King Park,Youth Summer Pop Up Recreation,Local Event,Sport,Summer 2020,Tot;#Children,15,PM,2020-07-14 00:00:00,-73.946732,40.689612
104,Recreation,Rashea Barksdale,07/13/2020 12:00:00 PM,Bronx,Playground,Hunts Point Recreation Center,Soccer,Local Event,Sport,Tier 2,Children,10,PM,2020-07-14 00:00:00,-73.88909149999999,40.8149605
105,Recreation,Ocean Breeze Recreaion Staff,07/13/2020 12:00:00 PM,Staten Island,Park,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Street Hockey,Open House,Sport,Summer 2020,General Public,0,PM,2020-07-14 00:00:00,,
106,Urban Park Rangers,General Public,07/13/2020 12:30:00 PM,Brooklyn,Park,Canarsie Park,Canarsie Park's Artificial Tide Pool,Community Based Event,Nature,Summer 2020,General Public,12,PM,2020-07-14 00:30:00,-73.89508649999999,40.6277696
107,Recreation,Andrea Williams,07/13/2020 12:30:00 PM,Brooklyn,Playground,Cypress Hills Playground,Mobile Recreation,Community Based Event,Mobile Unit,Summer 2020,Children;#Teens;#General Public,0,PM,2020-07-14 00:30:00,-73.87180649999999,40.6707541
108,Urban Park Rangers,General Public,07/13/2020 12:36:00 PM,Queens,Park,Queensbridge Park,Park Pals,Community Based Event,Nature,Summer 2020,General Public,14,PM,2020-07-14 00:36:00,-73.9486111,40.7566667
109,Urban Park Rangers,General Public,07/13/2020 01:20:00 PM,Queens,Park,Queensbridge Park,Park Pals Part 2,Community Based Event,Nature,Summer 2020,General Public,21,PM,2020-07-13 13:20:00,-73.9486111,40.7566667
